,index,variable,depth,intensity_bin,mdr,dr,damage_bin_ID,damage_bin_id
1868,26695,depth_meters_2021,0.24103918571569305,7,0.55,0.5388634098760559,7,7
1869,24959,depth_meters_2021,0.7159235080202704,21,0.84,0.7648693016252028,9,9
1870,12569,depth_meters_2021,0.8321478824983749,25,0.85,0.8172164626056321,10,10
1871,16020,depth_meters_2021,0.5369052057548502,16,0.775,0.7788524928656279,9,9
1872,2970,depth_meters_2021,0.8646529085020018,26,0.85,0.9630188643062229,11,11
1873,12322,depth_meters_2021,0.9438050948382433,28,0.85,0.820981903669354,10,10
1874,20089,depth_meters_2021,0.46556580532867753,14,0.725,0.871087870711687,10,10
1875,10293,depth_meters_2021,0.42897533035327495,13,0.7,0.8124479962602992,10,10
1876,3661,depth_meters_2021,0.6618709012189482,20,0.83,0.8094126651967356,10,10
1877,612,depth_meters_2021,0.03454392699374709,2,0.225,0.285659272933439,4,4
1878,28105,depth_meters_2021,0.17154159404791858,5,0.42,0.45143694401494006,6,6
1879,21784,depth_meters_2021,0.8006029358194544,24,0.85,0.9503547916398277,11,11
1880,23655,depth_meters_2021,0.6111882711164026,18,0.81,0.9518378206252621,11,11
1881,13707,depth_meters_2021,0.8766748440870897,26,0.85,0.9651747871789598,11,11
1882,22439,depth_meters_2021,0.8099874232357631,24,0.85,0.8648285146887172,10,10
1883,18630,depth_meters_2021,0.46535704161684466,14,0.725,0.8110670467002531,10,10
1884,551,depth_meters_2021,0.957832064626739,28,0.85,0.9652284074649058,11,11
1885,29424,depth_meters_2021,0.5415523347172672,16,0.775,0.8383020233856646,10,10
1886,30160,depth_meters_2021,0.9510107342439763,28,0.85,0.9331151242076369,11,11
1887,13766,depth_meters_2021,0.9913080398372189,29,0.85,0.780869212417943,9,9
1888,4013,depth_meters_2021,0.9307432704525354,27,0.85,0.8303094618097688,10,10
1889,6834,depth_meters_2021,0.3420306399028271,10,0.625,0.6611805197601558,8,8
1890,6907,depth_meters_2021,0.3510259820983528,11,0.65,0.6549223318895314,8,8
1891,2518,depth_meters_2021,0.42117843654234477,13,0.7,0.7095537254967111,9,9
1892,13744,depth_meters_2021,0.2635691736311593,8,0.58,0.5607598629657833,7,7
1893,28572,depth_meters_2021,0.1402758990424442,5,0.42,0.5086860210528836,7,7
1894,1158,depth_meters_2021,0.4269802114765855,13,0.7,0.6263366675766936,8,8
1895,3249,depth_meters_2021,0.16099327014569842,5,0.42,0.3585338198687161,5,5
1896,8091,depth_meters_2021,0.788782141010489,23,0.85,0.99145810966055,11,11
1897,20102,depth_meters_2021,0.39248743540375564,12,0.675,0.7540660210743482,9,9
1898,26832,depth_meters_2021,0.117044585657196,4,0.36,0.2839710157234256,4,4
1899,9763,depth_meters_2021,0.774278750333488,23,0.85,0.9086708461375724,11,11
1900,332,depth_meters_2021,0.8809248128145972,26,0.85,0.9556448516523981,11,11
1901,21626,depth_meters_2021,0.7967415686768298,24,0.85,0.8477176586734879,10,10
1902,11664,depth_meters_2021,0.6447716815985978,19,0.82,0.7690945324338779,9,9
1903,31092,depth_meters_2021,0.5534204528256,17,0.79,0.9220781175043622,11,11
1904,4014,depth_meters_2021,0.8832034259346405,26,0.85,0.9641516561042961,11,11
1905,10153,depth_meters_2021,0.9118731379578014,27,0.85,0.9133655343798422,11,11
1906,21169,depth_meters_2021,0.8637707392971611,26,0.85,0.8297077032450065,10,10
1907,16322,depth_meters_2021,0.45567954482280026,14,0.725,0.7710688993848324,9,9
1908,31638,depth_meters_2021,0.027341914208614537,1,0.15,0.242861835272046,4,4
1909,24300,depth_meters_2021,0.1903830601999329,6,0.49,0.41882008111594315,6,6
1910,7569,depth_meters_2021,0.8852242515704303,26,0.85,0.9266293680431196,11,11
1911,28642,depth_meters_2021,0.19990379875029163,6,0.49,0.47829328364941304,6,6
1912,17794,depth_meters_2021,0.34786056289889034,11,0.65,0.7741911163430105,9,9
1913,10483,depth_meters_2021,0.16863771907003922,5,0.42,0.5110389571799885,7,7
1914,9418,depth_meters_2021,0.5997484409303387,18,0.81,0.8635919171186698,10,10
1915,22741,depth_meters_2021,0.3750690275905971,11,0.65,0.5791272320650698,7,7
1916,18033,depth_meters_2021,0.6923438639907008,21,0.84,0.8289214601643896,10,10
1917,12084,depth_meters_2021,0.8079837862995238,24,0.85,0.9236401207041685,11,11
1918,3036,depth_meters_2021,0.42632979652752556,13,0.7,0.7995254983735411,9,9
1919,12346,depth_meters_2021,0.8554811465528709,25,0.85,0.9609600632748564,11,11
1920,18406,depth_meters_2021,0.5214988885943209,16,0.775,0.8414044401270088,10,10
1921,30809,depth_meters_2021,0.851738767106121,25,0.85,0.8361909313221239,10,10
